Metric,QC,QEA0_rel,REA-BTS_rel,REA-LDB-BTS_rel,REA-LDB-BCST_rel,REA-LDB-BW_rel,REA-DB1-BTS_rel,REA-DB1-BCST_rel,REA-DB1-BW_rel
Er_mean,TRUE,120.24,117.305,221.18,75.36,216.313333333333,597.35,106.595,45.04
Er_rmse,TRUE,8.665,32.64,62.85,8.69,12.19,412.58,8.79,8.27
Er_intercept,TRUE,224.55,218.835,422.81,73.425,81.2466666666667,1729.505,167.085,28.0633333333333
Er_slope,TRUE,139.52,75.72,58.82,43.88,504.91,46.785,80.07,121.07
nondim_u,TRUE,11.155,59.565,134.68,11.715,12.0733333333333,816.84,11.785,10.9133333333333
